ID,Title,Description,Source,Category,Suggested Doc Type,Priority,Frequency,Keywords,Action Required,Status
CODE-0001,Authentication: authentication: Auth,Update authentication documentation for changes in cspell.json. Include security considerations.,code,authentication,how-to,high,327,,Update authentication documentation for changes in cspell.json. Include security considerations.,new
CODE-0030,Database Schema: database_schema: schema (,Document database schema change in demo-showcase/acme/docs/index.md. Update data model documentation.,code,database_schema,how-to,high,22,,Document database schema change in demo-showcase/acme/docs/index.md. Update data model documentation.,new
CODE-0135,Config Option: config_option: asyncapi,Document configuration option: asyncapi. Include allowed values and when to use.,code,config_option,reference,high,9,,Document configuration option: asyncapi. Include allowed values and when to use.,new
CODE-1201,Signature Change: Function signature changed: Paragraph,"UPDATE REQUIRED: Function Paragraph signature changed. Old: (""Top Risks (Deterministic + LLM Consolidated) → New: (""Appendix B — Evidence Traceability"", section_style). Update documentation and examples.",code,signature_change,how-to,high,3,,"UPDATE REQUIRED: Function Paragraph signature changed. Old: (""Top Risks (Deterministic + LLM Consolidated) → New: (""Appendix B — Evidence Traceability"", section_style). Update documentation and examples.",new
CODE-0062,Removed Function: Function removed: Endpoint,BREAKING: Function Endpoint was removed. Update documentation and add migration guide.,code,removed_function,how-to,high,1,,BREAKING: Function Endpoint was removed. Update documentation and add migration guide.,new
CODE-0010,Webhook: webhook: webhook,Update webhook documentation for changes in demo-showcase/acme/docs/guides/troubleshooting.md. Include payload examples and event types.,code,webhook,how-to,medium,840,,Update webhook documentation for changes in demo-showcase/acme/docs/guides/troubleshooting.md. Include payload examples and event types.,new
CODE-0007,New Function: New function: print,"Document new function: print. Include parameters, return value, and usage example.",code,new_function,how-to,medium,44,,"Document new function: print. Include parameters, return value, and usage example.",new
CODE-0047,Public Function: public_function: on_message,"Consider documenting public API: on_message. Include parameters, return value, and example usage.",code,public_function,reference,medium,2,,"Consider documenting public API: on_message. Include parameters, return value, and example usage.",new
